uid,created_date,survival_time,country,have_services,log_score,label
94,2021-05-09,618.0,US,0,-5879.034919654398,scam
95,2011-10-16,4111.0,US,1,-157.30685281944005,scam
96,2022-05-24,228.0,CA,0,-199833.49873295912,scam
97,2022-10-12,94.0,US,0,-3753.386615781621,scam
98,2022-09-27,109.0,-,1,-199833.49873295912,scam
99,2022-07-05,186.0,-,0,-199833.49873295912,scam
100,2022-03-29,291.0,US,0,-350.4782114229509,scam
101,2022-09-02,138.0,US,0,-33.53426409720027,scam
102,2022-08-04,166.0,US,0,-3.90138771133189,scam
103,2022-07-18,180.0,US,0,-1785.1978816246228,scam
104,2022-08-29,131.0,FR,0,-2270.109628242104,scam
105,2022-08-22,138.0,-,0,-199833.49873295912,scam
106,2019-07-25,1262.0,US,1,-11391.59880261834,scam
107,2022-11-14,61.0,ZA,0,-22.00426772644601,scam
108,2022-10-24,86.0,-,0,-199833.49873295912,scam
109,2022-10-10,100.0,US,0,-199833.49873295912,scam
110,2022-05-31,232.0,US,1,-199833.49873295912,scam
111,2022-03-16,308.0,GB,0,-2.3905620875658995,scam
112,2022-05-07,256.0,US,0,-5879.034919654398,scam
113,2022-07-19,179.0,US,1,-3753.386615781621,scam
114,2022-04-06,283.0,US,0,-173.00956741322128,scam
115,2022-09-27,112.0,-,0,-199833.49873295912,scam
116,2022-01-11,372.0,FR,0,-300.3232461977317,scam
117,2022-10-08,98.0,US,0,-3753.386615781621,scam
118,2022-04-28,254.0,US,0,-100652.65205617686,scam
119,2022-09-22,107.0,-,1,-199833.49873295912,scam
120,2022-03-10,310.0,US,0,-199833.49873295912,scam
121,2022-10-24,82.0,CN,0,-261.6721238312104,scam
122,2022-10-22,77.0,US,0,-1785.1978816246228,scam
123,2021-12-07,396.0,US,0,-199833.49873295912,scam
124,2022-11-02,73.0,US,0,-3753.386615781621,scam
125,2021-06-08,589.0,NL,0,-22.90138771133189,scam
126,2022-06-06,215.0,-,0,-199833.49873295912,scam
127,2022-08-05,162.0,-,1,-199833.49873295912,scam
128,2021-08-20,512.0,IN,0,-18489.60555084533,scam
129,2022-07-21,170.0,-,0,-199833.49873295912,scam
130,2021-09-07,487.0,CA,1,-199833.49873295912,scam
131,2018-11-11,1525.0,US,1,-199833.49873295912,scam
132,2021-12-28,386.0,FR,0,-300.3232461977317,scam
133,2021-09-15,490.0,US,0,-3129.087976994572,scam
134,2020-08-17,883.0,CN,0,-257.7373098110951,scam
135,2022-06-13,215.0,US,0,-199833.49873295912,scam
136,2022-02-16,335.0,US,1,-100652.65205617686,scam
137,2022-10-25,85.0,NO,0,-48.44465193851059,scam
138,2022-01-13,369.0,US,0,-6607.894054526099,scam
139,2022-10-02,104.0,US,0,-13.515093350212,scam
140,2022-06-28,200.0,JP,0,-8434.765893495403,scam
141,2022-09-16,120.0,HK,1,-1785.1978816246228,scam
142,2022-09-19,121.0,-,0,-199833.49873295912,scam
143,2022-08-04,156.0,US,0,-199833.49873295912,scam
144,2022-10-25,74.0,NL,0,-66.05408985094469,scam
145,2022-02-21,331.0,DE,0,-158.1287989890921,scam
146,2022-10-13,86.0,US,0,-34411.32324619773,scam
147,2022-10-02,97.0,RU,0,-403.2919497988978,scam
148,2022-08-22,148.0,US,0,-199833.49873295912,scam
149,2018-09-06,1594.0,FR,1,-8736.17105438239,scam
150,2017-11-24,1870.0,SE,0,-77.30685281944005,scam
151,2014-08-20,3072.0,CN,0,-761.2864279332957,scam
152,2022-08-11,156.0,IE,0,-300.3232461977317,scam
153,2022-08-31,129.0,US,0,-199833.49873295912,scam
154,2019-08-05,1258.0,US,0,-100652.65205617686,scam
155,2022-02-19,333.0,IE,0,-100652.65205617686,scam
156,2022-11-16,52.0,US,0,-464.31112054588607,scam
157,2022-10-09,90.0,GB,0,-459.9013877113319,scam
158,2022-02-17,335.0,CN,0,-261.6721238312104,scam
159,,,US,0,-199833.49873295912,scam
160,2022-10-24,75.0,US,0,-464.31112054588607,scam
161,2022-09-08,131.0,US,0,-100652.65205617686,scam
162,,,US,0,-7.306852819440055,scam
163,2022-07-30,172.0,US,0,-179.00426772644602,scam
164,2021-11-20,424.0,VN,0,-138.92055845832016,scam
165,2021-05-31,597.0,SG,1,-18489.60555084533,scam
166,2022-08-05,155.0,US,0,-34411.32324619773,scam
167,2022-02-22,319.0,US,0,-1184.311120545886,scam
168,2022-04-06,287.0,US,0,-5879.034919654398,scam
169,2021-01-20,724.0,US,0,-199833.49873295912,scam
170,2022-08-26,134.0,AE,1,-100652.65205617686,scam
171,2022-10-16,90.0,BR,0,-3753.386615781621,scam
172,2021-05-10,614.0,US,0,-15848.311120545886,scam
173,2022-10-05,94.0,US,1,-199833.49873295912,scam
174,2022-10-20,79.0,US,0,-100652.65205617686,scam
175,2022-03-03,310.0,RU,0,-22.208240530771945,scam
176,2022-11-03,72.0,CN,0,-261.6721238312104,scam
177,2022-10-08,102.0,GB,0,-3753.386615781621,scam
178,2022-01-25,358.0,US,0,-1361.1667866559435,scam
179,2019-08-13,1250.0,US,0,-6607.894054526099,scam
180,,,VN,1,-1.6137056388801094,scam
181,2021-10-05,459.0,US,0,-2625.5342640972003,scam
182,2022-03-14,299.0,US,0,-199833.49873295912,scam
183,2021-05-07,620.0,DE,1,-100652.65205617686,scam
184,2022-06-23,209.0,US,0,-100652.65205617686,scam
185,2022-07-12,186.0,US,0,-199833.49873295912,scam
186,,,EE,0,-300.3232461977317,scam
187,2019-08-29,1234.0,US,0,-6607.894054526099,scam
188,2022-08-16,151.0,US,0,-350.4782114229509,scam
189,2021-07-30,537.0,US,0,-350.4782114229509,scam
190,2022-09-23,117.0,HK,0,-221.73730981109512,scam
191,2022-09-30,110.0,SG,0,-1785.1978816246228,scam
192,2022-10-30,69.0,CH,0,-34.3905620875659,scam
193,2021-12-26,384.0,HK,0,-221.73730981109512,scam
194,2022-08-08,162.0,NL,0,-7.306852819440055,scam
195,2022-10-20,86.0,GB,1,-3753.386615781621,scam
